ID	UniProt	lineage	domain	phylum	class	order	family	genus	species
A0A2Z3QX00|A0A2Z3QX00_9GAMM/1-140	A0A2Z3QX00	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__Acidiferrobacter;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Acidiferrobacterales	f__Acidiferrobacteraceae	g__Acidiferrobacter	s__
A0A316FYU3|A0A316FYU3_9GAMM/25-167	A0A316FYU3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Pleioneaceae;g__Pleionea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Pleioneaceae	g__Pleionea	s__
A0A316G1W3|A0A316G1W3_9GAMM/49-200	A0A316G1W3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Oceanospirillales;f__Pleioneaceae;g__Pleionea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Oceanospirillales	f__Pleioneaceae	g__Pleionea	s__
A0A317C9S5|A0A317C9S5_9GAMM/1-156	A0A317C9S5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Leucothrix;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Leucothrix	s__
A0A318RGZ4|A0A318RGZ4_WILLI/44-205	A0A318RGZ4	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Williamsia;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Williamsia	s__
A0A321LHN5|A0A321LHN5_9BACT/1-138	A0A321LHN5	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__;f__;g__CandidatusAngelobacter;s__	d__Bacteria	p__Acidobacteriota	c__Terriglobia	o__	f__	g__CandidatusAngelobacter	s__
A0A321LN56|A0A321LN56_9BACT/20-169	A0A321LN56	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__	f__	g__	s__
A0A329EVK6|A0A329EVK6_9BACI/1-113	A0A329EVK6	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Priestia;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Priestia	s__
A0A349TF52|A0A349TF52_9SPHN/1-137	A0A349TF52	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Erythrobacter;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Erythrobacteraceae	g__Erythrobacter	s__
A0A350EU23|A0A350EU23_9BACT/17-172	A0A350EU23	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__;g__;s__	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiia	o__Verrucomicrobiales	f__	g__	s__
A0A353CAA2|A0A353CAA2_9BACT/5-188	A0A353CAA2	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__	f__	g__	s__
A0A353FDW4|A0A353FDW4_9FLAO/1-166	A0A353FDW4	d__Bacteria;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__;s__	d__Bacteria	p__Bacteroidota	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__	s__
A0A353FX40|A0A353FX40_UNCAC/1-139	A0A353FX40	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A354BAC1|A0A354BAC1_9ACTN/1-150	A0A354BAC1	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__;s__	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Acidimicrobiaceae	g__	s__
A0A356RDZ4|A0A356RDZ4_9BACT/1-157	A0A356RDZ4	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__;s__	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__	s__
A0A357F404|A0A357F404_9BACT/1-173	A0A357F404	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__	f__	g__	s__
A0A358SPM4|A0A358SPM4_UNCAC/1-170	A0A358SPM4	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A367U8H7|A0A367U8H7_9PROT/1-154	A0A367U8H7	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassospiraceae;g__Thalassospira;s__Thalassospiraxianhensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Thalassospiraceae	g__Thalassospira	s__Thalassospiraxianhensis
A0A367X545|A0A367X545_9PROT/1-152	A0A367X545	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassospiraceae;g__Thalassospira;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Thalassospiraceae	g__Thalassospira	s__
A0A372DT21|A0A372DT21_9GAMM/1-168	A0A372DT21	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Luteimonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Lysobacterales	f__Lysobacteraceae	g__Luteimonas	s__
A0A395LZ21|A0A395LZ21_9BACT/2-164	A0A395LZ21	d__Bacteria;p__Chlorobiota;c__Chlorobiia;o__Chlorobiales;f__CandidatusThermochlorobacteriaceae;g__CandidatusThermochlorobacter;s__	d__Bacteria	p__Chlorobiota	c__Chlorobiia	o__Chlorobiales	f__CandidatusThermochlorobacteriaceae	g__CandidatusThermochlorobacter	s__
A0A3B8INZ6|A0A3B8INZ6_9BACT/1-140	A0A3B8INZ6	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__;g__;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__	g__	s__
A0A3B8LDD6|A0A3B8LDD6_UNCMY/6-167	A0A3B8LDD6	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__;g__;s__	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__	g__	s__
A0A3C0T8Y8|A0A3C0T8Y8_9GAMM/1-145	A0A3C0T8Y8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A3C1DQ38|A0A3C1DQ38_UNCAC/1-173	A0A3C1DQ38	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A3C2E2Z3|A0A3C2E2Z3_9PROT/1-134	A0A3C2E2Z3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__	f__	g__	s__
A0A3D9L4D3|A0A3D9L4D3_MARFU/2-139	A0A3D9L4D3	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Reichenbachiellaceae;g__Marinoscillum;s__Marinoscillumfurvescens	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Reichenbachiellaceae	g__Marinoscillum	s__Marinoscillumfurvescens
A0A3M2G3I4|A0A3M2G3I4_ACTSX/1-146	A0A3M2G3I4	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__
A0A3N0VKH0|A0A3N0VKH0_9GAMM/6-174	A0A3N0VKH0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Stagnimonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Stagnimonas	s__
A0A3N5KFN8|A0A3N5KFN8_UNCAC/1-151	A0A3N5KFN8	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A3N7CT34|A0A3N7CT34_9BURK/1-162	A0A3N7CT34	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Sphaerotilaceae;g__Roseateles;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Sphaerotilaceae	g__Roseateles	s__
A0A3R7RW36|A0A3R7RW36_9GAMM/1-141	A0A3R7RW36	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A3S0B9P7|A0A3S0B9P7_9GAMM/1-166	A0A3S0B9P7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Lysobacterales	f__	g__	s__
A0A3S0CE46|A0A3S0CE46_9BURK/1-176	A0A3S0CE46	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__	g__	s__
A0A3S0CQD3|A0A3S0CQD3_9BACT/1-169	A0A3S0CQD3	d__Bacteria;p__CandidatusMelainabacteria;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusMelainabacteria	c__	o__	f__	g__	s__
A0A3S0ZPX9|A0A3S0ZPX9_CHLFR/1-154	A0A3S0ZPX9	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Chlorogloeopsidaceae;g__Chlorogloeopsis;s__Chlorogloeopsisfritschii	d__Bacteria	p__Cyanobacteriota	c__Cyanophyceae	o__Nostocales	f__Chlorogloeopsidaceae	g__Chlorogloeopsis	s__Chlorogloeopsisfritschii
A0A424L1M7|A0A424L1M7_9GAMM/1-130	A0A424L1M7	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A426FN09|A0A426FN09_9BURK/12-160	A0A426FN09	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Lautropia	s__
A0A426FN15|A0A426FN15_9BURK/1-146	A0A426FN15	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Lautropia	s__
A0A426FN24|A0A426FN24_9BURK/24-168	A0A426FN24	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Lautropia	s__
A0A495BD75|A0A495BD75_VOGIN/1-176	A0A495BD75	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Chromobacteriaceae;g__Vogesella;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Neisseriales	f__Chromobacteriaceae	g__Vogesella	s__
A0A4P8RD91|A0A4P8RD91_9BACT/17-187	A0A4P8RD91	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Pontibacter;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Hymenobacteraceae	g__Pontibacter	s__
A0A4Q2T0T6|A0A4Q2T0T6_9ACTN/1-137	A0A4Q2T0T6	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__
A0A4Q3WZJ8|A0A4Q3WZJ8_9BACT/1-146	A0A4Q3WZJ8	d__Bacteria;p__;c__;o__;f__;g__;s__	d__Bacteria	p__	c__	o__	f__	g__	s__
A0A4Q5NR63|A0A4Q5NR63_9BACT/1-150	A0A4Q5NR63	d__Bacteria;p__;c__;o__;f__;g__;s__	d__Bacteria	p__	c__	o__	f__	g__	s__
A0A4R3MV15|A0A4R3MV15_9BACI/1-143	A0A4R3MV15	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Melghiribacillus;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Melghiribacillus	s__
A0A4R3Y6M5|A0A4R3Y6M5_9PROT/1-153	A0A4R3Y6M5	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Sulfuricellaceae;g__Sulfurirhabdus;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Nitrosomonadales	f__Sulfuricellaceae	g__Sulfurirhabdus	s__
A0A4U0HEL8|A0A4U0HEL8_9MICC/1-153	A0A4U0HEL8	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Micrococcales	f__Micrococcaceae	g__Arthrobacter	s__
A0A4U0PM58|A0A4U0PM58_9NEIS/1-158	A0A4U0PM58	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Neisseriales;f__Chitinibacteraceae;g__Chitiniphilus;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Neisseriales	f__Chitinibacteraceae	g__Chitiniphilus	s__
A0A4U1JIH3|A0A4U1JIH3_9BACT/1-168	A0A4U1JIH3	d__Bacteria;p__Myxococcota;c__;o__Polyangiales;f__Polyangiaceae;g__Polyangium;s__	d__Bacteria	p__Myxococcota	c__	o__Polyangiales	f__Polyangiaceae	g__Polyangium	s__
A0A4U8VBM5|A0A4U8VBM5_9BURK/1-164	A0A4U8VBM5	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__	s__
A0A4V3DB96|A0A4V3DB96_9PSEU/1-177	A0A4V3DB96	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinomycetospora;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Pseudonocardiales	f__Pseudonocardiaceae	g__Actinomycetospora	s__
A0A510TAU7|A0A510TAU7_9ACTN/1-200	A0A510TAU7	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Kitasatosporales;f__Streptomycetaceae;g__Streptomyces;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Kitasatosporales	f__Streptomycetaceae	g__Streptomyces	s__
A0A511M8D9|A0A511M8D9_9NOCA/1-192	A0A511M8D9	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Nocardia;s__Nocardianinae	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Nocardia	s__Nocardianinae
A0A517ZEI3|A0A517ZEI3_9PLAN/9-186	A0A517ZEI3	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Maioricimonas;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__Maioricimonas	s__
A0A518DRD1|A0A518DRD1_9BACT/47-210	A0A518DRD1	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Lignipirellula;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Pirellulaceae	g__Lignipirellula	s__
A0A519ESP9|A0A519ESP9_9BURK/1-157	A0A519ESP9	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Variovorax	s__
A0A520YLG8|A0A520YLG8_9GAMM/1-140	A0A520YLG8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__	g__	s__
A0A521P6X7|A0A521P6X7_9CAUL/1-155	A0A521P6X7	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__
A0A522PAM1|A0A522PAM1_9BACT/25-171	A0A522PAM1	d__Bacteria;p__;c__;o__;f__;g__;s__	d__Bacteria	p__	c__	o__	f__	g__	s__
A0A523E6G7|A0A523E6G7_9BACT/1-152	A0A523E6G7	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	d__Bacteria	p__Acidobacteriota	c__	o__	f__	g__	s__
A0A523FGV2|A0A523FGV2_9PROT/1-138	A0A523FGV2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__	f__	g__	s__
A0A523JTF3|A0A523JTF3_9GAMM/1-129	A0A523JTF3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A523JWI8|A0A523JWI8_UNCDE/22-170	A0A523JWI8	d__Bacteria;p__Myxococcota;c__Myxococcia;o__;f__;g__;s__	d__Bacteria	p__Myxococcota	c__Myxococcia	o__	f__	g__	s__
A0A523P2T5|A0A523P2T5_9PROT/1-143	A0A523P2T5	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__	o__	f__	g__	s__
A0A523PFG0|A0A523PFG0_9PROT/1-154	A0A523PFG0	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__	o__	f__	g__	s__
A0A523PPZ3|A0A523PPZ3_UNCPL/8-147	A0A523PPZ3	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Planctomycetota	c__	o__	f__	g__	s__
A0A534ASS8|A0A534ASS8_9GAMM/1-152	A0A534ASS8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A534SE59|A0A534SE59_UNCDE/1-174	A0A534SE59	d__Bacteria;p__Myxococcota;c__Myxococcia;o__;f__;g__;s__	d__Bacteria	p__Myxococcota	c__Myxococcia	o__	f__	g__	s__
A0A534TAF0|A0A534TAF0_UNCDE/19-167	A0A534TAF0	d__Bacteria;p__Myxococcota;c__Myxococcia;o__;f__;g__;s__	d__Bacteria	p__Myxococcota	c__Myxococcia	o__	f__	g__	s__
A0A535AQ88|A0A535AQ88_UNCDE/1-147	A0A535AQ88	d__Bacteria;p__Myxococcota;c__Myxococcia;o__;f__;g__;s__	d__Bacteria	p__Myxococcota	c__Myxococcia	o__	f__	g__	s__
A0A536TFF3|A0A536TFF3_9PROT/1-155	A0A536TFF3	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A536UWV2|A0A536UWV2_9PROT/1-160	A0A536UWV2	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A536VPU1|A0A536VPU1_9PROT/1-159	A0A536VPU1	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A536WSA4|A0A536WSA4_9PROT/1-151	A0A536WSA4	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A557R1W2|A0A557R1W2_9RHOO/1-160	A0A557R1W2	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Rhodocyclales;f__Zoogloeaceae;g__Denitromonas;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Rhodocyclales	f__Zoogloeaceae	g__Denitromonas	s__
A0A559JEC2|A0A559JEC2_9BACL/1-177	A0A559JEC2	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__
A0A559QRL1|A0A559QRL1_9ALTE/1-139	A0A559QRL1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Alteromonadaceae	g__	s__
A0A5C7RF98|A0A5C7RF98_9GAMM/1-160	A0A5C7RF98	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiothrix	s__
A0A5C8J8R1|A0A5C8J8R1_9BURK/1-164	A0A5C8J8R1	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ottowia;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Ottowia	s__
A0A654E1C1|A0A654E1C1_9BACT/1-138	A0A654E1C1	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Reichenbachiellaceae;g__Marinoscillum;s__	d__Bacteria	p__Bacteroidota	c__Cytophagia	o__Cytophagales	f__Reichenbachiellaceae	g__Marinoscillum	s__
A0A661FS18|A0A661FS18_9GAMM/1-157	A0A661FS18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A6A0QTL9|A0A6A0QTL9_UNCAM/8-154	A0A6A0QTL9	d__Bacteria;p__Armatimonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Armatimonadota	c__	o__	f__	g__	s__
A0A6B1BBV1|A0A6B1BBV1_9ACTN/1-147	A0A6B1BBV1	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
A0A6B1FT71|A0A6B1FT71_9GAMM/1-168	A0A6B1FT71	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__	f__	g__	s__
A0A6B1HQ31|A0A6B1HQ31_9PROT/1-146	A0A6B1HQ31	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodospirillales	f__Rhodospirillaceae	g__	s__
A0A6B3UEQ4|A0A6B3UEQ4_9CAUL/1-165	A0A6B3UEQ4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__
A0A6B3W7U4|A0A6B3W7U4_9GAMM/1-137	A0A6B3W7U4	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Wenzhouxiangellaceae;g__Wenzhouxiangella;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Wenzhouxiangellaceae	g__Wenzhouxiangella	s__
A0A6C7E6F3|A0A6C7E6F3_ILUCY/1-140	A0A6C7E6F3	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobactercoccineus	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__Ilumatobacter	s__Ilumatobactercoccineus
A0A6G2JN50|A0A6G2JN50_UNCGE/1-160	A0A6G2JN50	d__Bacteria;p__Gemmatimonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Gemmatimonadota	c__	o__	f__	g__	s__
A0A6H1C1X3|A0A6H1C1X3_9NOCA/1-154	A0A6H1C1X3	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Mycobacteriales	f__Nocardiaceae	g__Rhodococcus	s__
A0A6H9XSL5|A0A6H9XSL5_9PROT/1-155	A0A6H9XSL5	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A6I2YUN3|A0A6I2YUN3_UNCAC/1-159	A0A6I2YUN3	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A6I3AVH5|A0A6I3AVH5_UNCAC/3-157	A0A6I3AVH5	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A6I3MVA4|A0A6I3MVA4_UNCAC/1-157	A0A6I3MVA4	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
A0A6I3WMG2|A0A6I3WMG2_UNCAC/1-160	A0A6I3WMG2	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__	f__	g__	s__
